    ,account_ID,Account_fname,Account_lname,Email,Account_type
0,55864558,Matthew,Henderson,belindameyer@gmail.com,B
1,17066693,Kristin,Suarez,umendez@hotmail.com,S
2,54632950,Holly,Hoffman,laurahurley@wiggins-richard.com,B
3,78927490,Shawn,Kim,bmartinez@hotmail.com,B
4,64027968,Brittany,Wilson,christina15@yahoo.com,B
5,20943134,James,Grant,reynoldsbrandi@yahoo.com,B
6,12171682,Jeffrey,White,kathy81@gmail.com,B
7,57200729,Stephen,Hernandez,kimberly11@hernandez.net,B
8,79370424,Jill,Hernandez,adam92@green.com,B
9,95096179,Stephanie,Tate,terrencerobinson@morrow.com,S
10,95954547,William,Young,sarahhill@gmail.com,S
11,07126413,Nicole,Williams,isabelanderson@hotmail.com,S
12,12709786,Jose,Rivera,landersen@gmail.com,S
13,42134701,Deborah,Chandler,smithalicia@henderson-morgan.com,S
14,67769186,Troy,Lewis,jacksonnicole@yahoo.com,B
15,64641409,Steve,Mendoza,trevorlucas@hotmail.com,S
16,53359612,Christina,Mueller,tamiscott@thompson-blair.com,S
17,62695763,Justin,Nelson,kennethhanson@ruiz.info,S
18,39052605,Wendy,May,william56@smith-ware.biz,S
19,62954532,Kim,Watts,garciasusan@smith.com,B
20,80046561,Michael,Hobbs,wkerr@yahoo.com,S
21,88367453,Teresa,Smith,alexreyes@yahoo.com,S
22,46235077,Kathryn,Taylor,browndana@anderson.com,B
23,02898063,Amber,Thomas,hwarren@odom.com,S
24,89747742,Dylan,Lara,sarahall@gmail.com,B
25,07077845,Jeffrey,Powers,michaelreed@owen.net,S
26,28233930,Robert,Jones,maria21@hotmail.com,B
27,25218084,Robert,Estes,trevor60@hotmail.com,B
28,05935819,Matthew,Ortiz,madisonwilliams@saunders.com,S
29,38539305,Richard,Smith,jesseschultz@yahoo.com,B
30,18599169,Katie,Peck,qholland@hotmail.com,S
31,64128238,Cindy,Rivas,martinpage@hotmail.com,B
32,94177954,Tammy,Kelly,justinbeck@wilcox.com,S
33,59467540,David,Santos,shortrachel@yahoo.com,S
34,05007448,Susan,Cruz,gwalker@yahoo.com,B
35,28410294,Carolyn,Anthony,kristy25@perry.biz,B
36,97889205,Lacey,Davis,esalazar@hotmail.com,S
37,03308691,Linda,Williams,ricardo30@schmitt.com,S
38,99114787,Brandy,Goodman,nkelley@gmail.com,B
39,47252820,Gina,Yang,adamstrevor@donovan-james.biz,B
40,70949933,Olivia,Jackson,barrettrobert@yahoo.com,B
41,10881187,Michael,Delgado,kathybraun@campbell.net,S
42,62301251,Cheryl,Price,kimberly69@yahoo.com,B
43,35042259,Grant,Ferguson,josephjensen@gmail.com,S
44,56872538,Gary,Mcintyre,logan68@hotmail.com,S
45,23194571,Mandy,Russell,linda46@gmail.com,S
46,57593937,Erin,Weeks,icoleman@gmail.com,S
47,75314583,Stacey,Mcbride,simpsonpatrick@yahoo.com,S
48,35649434,Cory,Clark,vthomas@yahoo.com,B
49,78621268,Michael,Dominguez,elizabeth75@rice-brown.com,B
50,82779801,Stephanie,Kline,eric86@king-taylor.com,S
51,24126663,Patricia,Hodge,mrubio@yahoo.com,S
52,63371963,Brandon,Gomez,jeremyklein@hotmail.com,B
53,24527576,Jennifer,Patrick,kbartlett@grant-booth.net,S
