,address_ID,address_title,account_ID,addr_street_name,addr_state,addr_zipcode
0,57623160,DeepPink,55864558,4098 Miller Haven Suite 912,Idaho,63049
1,29805273,LightSlateGray,17066693,7209 Cox Loop Suite 867,Colorado,29165
2,86664103,FireBrick,54632950,01057 Mason Plaza,Oklahoma,69210
3,73373599,DarkTurquoise,78927490,4928 Robert Lane Apt. 674,Alabama,49771
4,88916569,SlateGray,64027968,382 Webb Points,Nebraska,54511
5,28573692,Green,20943134,92687 James View,Indiana,97424
6,41875957,LightPink,12171682,61195 Anita Ranch,Wyoming,20561
7,81237289,LightGoldenRodYellow,57200729,31451 Duncan Court Apt. 223,New Jersey,32439
8,83332845,PaleTurquoise,79370424,2575 Amanda Brooks,South Dakota,31456
9,07107108,DodgerBlue,95096179,5904 Smith Springs,Rhode Island,37568
10,26612010,Brown,95954547,84566 Kevin Fort Suite 775,California,42353
11,91915313,DarkCyan,07126413,384 Powers Summit,California,28512
12,65008249,Moccasin,12709786,28740 Jennifer Port,South Carolina,45642
13,46438416,Red,42134701,586 Sandra View,Connecticut,15610
14,46489555,Turquoise,67769186,4402 Lee Greens,Wisconsin,39856
15,48950527,LightSlateGray,64641409,00710 Richard Course Suite 582,Pennsylvania,55697
16,84385888,Gold,53359612,0564 Holland Terrace Apt. 472,California,87727
17,81867073,SlateGray,62695763,26096 Theresa Rest Apt. 290,New York,95349
18,80919391,DarkSeaGreen,39052605,8598 Compton Summit Suite 243,West Virginia,12585
19,70395761,Tan,62954532,29798 Katelyn Fall Suite 733,Arkansas,52856
20,50606344,Tomato,80046561,9233 Joseph Islands Apt. 162,Oklahoma,71292
21,22251411,LightPink,88367453,81616 Matthew Curve,Maine,70901
22,07115592,Purple,46235077,376 Davis Inlet Suite 938,Delaware,39247
23,41343555,LightSeaGreen,02898063,402 Williams Corners Suite 877,Illinois,34048
24,43967216,Peru,89747742,0995 Charles Cape,Rhode Island,88379
25,82863500,SlateBlue,07077845,5389 Alicia Terrace Apt. 328,Alaska,32464
26,17870306,MediumTurquoise,28233930,6452 Pacheco Fall,Rhode Island,85007
27,47153271,LightSteelBlue,25218084,86298 Morgan Canyon Suite 904,New Mexico,28700
28,41272947,Chartreuse,05935819,3767 Angelica Way Apt. 687,New Jersey,94080
29,20423049,SkyBlue,38539305,85635 Rachel Track Apt. 199,New Jersey,46579
30,00265256,Pink,18599169,41729 Frank Isle,Georgia,66848
31,87751628,BurlyWood,64128238,251 Berger Courts,Maryland,63182
32,26722757,Aquamarine,94177954,51833 Mullen Well,Missouri,38974
33,60952363,DarkGoldenRod,59467540,630 Robert Square Apt. 851,Maryland,88244
34,49605372,MediumSeaGreen,05007448,17200 Cindy Prairie,Nebraska,23772
35,08950697,PaleVioletRed,28410294,80700 Jones Parkway,Mississippi,52678
36,23726642,LemonChiffon,97889205,1998 Rollins Inlet,Massachusetts,49036
37,75330910,Black,03308691,048 Hernandez Bypass Apt. 087,Pennsylvania,15566
38,22522337,RosyBrown,99114787,277 Jackson Fork Apt. 887,Alabama,57260
39,56736304,DarkViolet,47252820,452 Guerrero Motorway Apt. 432,Pennsylvania,70340
